Refrigerant: R134a, CH2FCF3, 1,1,1,2-tetrafluoroethane
Reference: D.P.Wilson & R.S.Basu, ASHRAE Transactions 1988, Vol. 94 part 2.

T	P	Vl	Vg	Hl	Hg	R	Sl	Sg
1.00	3.036	0.7740	0.06653	201.33	397.78	196.45	1.0048	1.7214
2.00	3.146	0.7760	0.06427	202.66	398.36	195.70	1.0096	1.7209
3.00	3.260	0.7781	0.06210	203.99	398.93	194.94	1.0144	1.7204
4.00	3.376	0.7801	0.06001	205.33	399.50	194.17	1.0192	1.7199
5.00	3.496	0.7821	0.05801	206.67	400.07	193.40	1.0240	1.7194
6.00	3.619	0.7842	0.05609	208.02	400.64	192.62	1.0288	1.7189
7.00	3.746	0.7863	0.05425	209.37	401.21	191.84	1.0336	1.7184
8.00	3.876	0.7884	0.05248	210.72	401.77	191.05	1.0384	1.7179
9.00	4.009	0.7906	0.05077	212.08	402.33	190.25	1.0432	1.7175
10.00	4.145	0.7927	0.04913	213.44	402.89	189.45	1.0480	1.7170
11.00	4.286	0.7949	0.04756	214.80	403.44	188.64	1.0527	1.7166
12.00	4.429	0.7971	0.04604	216.17	404.00	187.83	1.0575	1.7162
13.00	4.577	0.7994	0.04458	217.54	404.55	187.01	1.0623	1.7158
14.00	4.728	0.8016	0.04318	218.92	405.10	186.18	1.0670	1.7154
15.00	4.883	0.8039	0.04183	220.30	405.64	185.34	1.0718	1.7150
16.00	5.042	0.8062	0.04052	221.68	406.18	184.50	1.0765	1.7146
17.00	5.204	0.8085	0.03927	223.07	406.72	183.66	1.0813	1.7142
18.00	5.371	0.8109	0.03806	224.44	407.26	182.82	1.0859	1.7139
19.00	5.541	0.8133	0.03690	225.84	407.80	181.96	1.0907	1.7135
20.00	5.716	0.8157	0.03577	227.23	408.33	181.09	1.0954	1.7132
21.00	5.895	0.8182	0.03469	228.64	408.86	180.22	1.1001	1.7128
22.00	6.078	0.8206	0.03365	230.05	409.38	179.34	1.1049	1.7125
23.00	6.265	0.8231	0.03264	231.46	409.91	178.45	1.1096	1.7122
24.00	6.457	0.8257	0.03166	232.87	410.42	177.55	1.1143	1.7118
25.00	6.653	0.8283	0.03072	234.29	410.94	176.65	1.1190	1.7115
26.00	6.853	0.8309	0.02982	235.72	411.45	175.73	1.1237	1.7112
27.00	7.058	0.8335	0.02894	237.15	411.96	174.81	1.1285	1.7109
28.00	7.267	0.8362	0.02809	238.58	412.47	173.89	1.1332	1.7106
29.00	7.482	0.8389	0.02727	240.02	412.97	172.95	1.1379	1.7103
30.00	7.701	0.8416	0.02648	241.46	413.47	172.00	1.1426	1.7100
31.00	7.924	0.8444	0.02572	242.91	413.96	171.05	1.1473	1.7097
32.00	8.153	0.8473	0.02498	244.36	414.45	170.09	1.1520	1.7094
33.00	8.386	0.8501	0.02426	245.82	414.94	169.12	1.1567	1.7091
34.00	8.625	0.8530	0.02357	247.28	415.42	168.14	1.1614	1.7088
35.00	8.868	0.8560	0.02290	248.75	415.90	167.15	1.1661	1.7085
36.00	9.117	0.8590	0.02225	250.22	416.37	166.15	1.1708	1.7082
37.00	9.371	0.8620	0.02162	251.70	416.84	165.14	1.1755	1.7079
38.00	9.630	0.8651	0.02102	253.18	417.30	164.12	1.1802	1.7077
39.00	9.894	0.8682	0.02043	254.67	417.76	163.09	1.1849	1.7074
40.00	10.164	0.8714	0.01986	256.16	418.21	162.05	1.1896	1.7071
41.00	10.439	0.8747	0.01930	257.66	418.66	161.00	1.1943	1.7068
42.00	10.720	0.8779	0.01877	259.16	419.11	159.94	1.1990	1.7065
43.00	11.007	0.8813	0.01825	260.67	419.54	158.87	1.2037	1.7062
44.00	11.299	0.8847	0.01774	262.19	419.98	157.79	1.2084	1.7059
45.00	11.597	0.8882	0.01726	263.71	420.40	156.69	1.2131	1.7056
46.00	11.901	0.8917	0.01678	265.24	420.83	155.59	1.2178	1.7053
47.00	12.211	0.8953	0.01632	266.77	421.24	154.47	1.2225	1.7050
48.00	12.526	0.8989	0.01588	268.32	421.65	153.33	1.2273	1.7047
49.00	12.848	0.9026	0.01544	269.86	422.05	152.19	1.2320	1.7044
50.00	13.176	0.9064	0.01502	271.42	422.44	151.03	1.2367	1.7041
51.00	13.510	0.9103	0.01461	272.98	422.83	149.85	1.2414	1.7037
52.00	13.851	0.9142	0.01421	274.55	423.21	148.66	1.2462	1.7034
53.00	14.198	0.9182	0.01383	276.13	423.59	147.46	1.2509	1.7030
54.00	14.552	0.9223	0.01345	277.71	423.95	146.24	1.2557	1.7027
55.00	14.912	0.9265	0.01309	279.30	424.31	145.01	1.2604	1.7023
56.00	15.278	0.9308	0.01273	280.90	424.66	143.75	1.2652	1.7019
57.00	15.652	0.9351	0.01239	282.51	424.99	142.49	1.2700	1.7015
58.00	16.032	0.9396	0.01205	284.13	425.32	141.20	1.2747	1.7011
59.00	16.419	0.9441	0.01172	285.75	425.64	139.89	1.2795	1.7007
60.00	16.813	0.9488	0.01141	287.39	425.96	138.57	1.2843	1.7003
61.00	17.215	0.9536	0.01110	289.03	426.26	137.23	1.2892	1.6998
62.00	17.623	0.9585	0.01079	290.68	426.54	135.86	1.2940	1.6994
63.00	18.039	0.9635	0.01050	292.35	426.82	134.47	1.2988	1.6989
64.00	18.462	0.9687	0.01021	294.02	427.09	133.07	1.3037	1.6983
65.00	18.893	0.9739	0.00993	295.71	427.34	131.63	1.3085	1.6978
66.00	19.331	0.9794	0.00966	297.40	427.58	130.18	1.3134	1.6973
67.00	19.777	0.9850	0.00940	299.11	427.81	128.70	1.3183	1.6967
68.00	20.231	0.9907	0.00914	300.83	428.02	127.19	1.3232	1.6961
69.00	20.692	0.9966	0.00888	302.57	428.22	125.65	1.3282	1.6954
70.00	21.162	1.0027	0.00864	304.31	428.40	124.08	1.3331	1.6947
71.00	21.640	1.0090	0.00840	306.07	428.56	122.49	1.3381	1.6940
72.00	22.126	1.0155	0.00816	307.85	428.71	120.86	1.3431	1.6933
73.00	22.620	1.0222	0.00793	309.64	428.84	119.19	1.3482	1.6925
74.00	23.123	1.0291	0.00770	311.45	428.94	117.49	1.3532	1.6917
75.00	23.634	1.0363	0.00748	313.27	429.03	115.76	1.3583	1.6908
76.00	24.154	1.0437	0.00727	315.11	429.09	113.98	1.3635	1.6899
77.00	24.683	1.0514	0.00706	316.97	429.13	112.16	1.3686	1.6889
78.00	25.221	1.0595	0.00685	318.86	429.15	110.29	1.3738	1.6879
79.00	25.768	1.0679	0.00665	320.77	429.13	108.36	1.3791	1.6868
80.00	26.324	1.0766	0.00645	322.69	429.09	106.40	1.3844	1.6857
81.00	26.890	1.0857	0.00625	324.63	429.01	104.38	1.3897	1.6844
82.00	27.465	1.0953	0.00606	326.60	428.91	102.31	1.3951	1.6831
83.00	28.050	1.1054	0.00587	328.61	428.75	100.14	1.4005	1.6817
84.00	28.645	1.1159	0.00569	330.64	428.56	97.92	1.4061	1.6802
85.00	29.250	1.1271	0.00550	332.71	428.33	95.62	1.4116	1.6786
86.00	29.866	1.1390	0.00532	334.81	428.05	93.24	1.4173	1.6769
87.00	30.491	1.1515	0.00514	336.95	427.71	90.75	1.4231	1.6751
88.00	31.128	1.1649	0.00497	339.14	427.31	88.17	1.4289	1.6731
89.00	31.776	1.1793	0.00479	341.37	426.84	85.46	1.4349	1.6709
90.00	32.435	1.1948	0.00462	343.66	426.29	82.63	1.4410	1.6685
91.00	33.105	1.2116	0.00444	346.01	425.65	79.64	1.4472	1.6659
92.00	33.788	1.2300	0.00427	348.44	424.91	76.47	1.4537	1.6631
93.00	34.482	1.2502	0.00410	350.95	424.04	73.09	1.4603	1.6599
94.00	35.190	1.2728	0.00392	353.56	423.03	69.46	1.4672	1.6564
95.00	35.910	1.2983	0.00375	356.30	421.83	65.53	1.4744	1.6524
96.00	36.644	1.3277	0.00356	359.21	420.38	61.17	1.4820	1.6477
97.00	37.393	1.3624	0.00337	362.33	418.62	56.29	1.4902	1.6422
98.00	38.158	1.4051	0.00317	365.77	416.41	50.64	1.4992	1.6356
99.00	38.940	1.4610	0.00295	369.72	413.48	43.77	1.5095	1.6271
100.00	39.742	1.5443	0.00268	374.70	409.10	34.40	1.5225	1.6147
101.00	40.570	1.7576	0.00221	384.42	398.59	14.18	1.5482	1.5861
101.10	40.670	1.9523	0.00195	391.16	391.16	0.00	1.5661	1.5661

Copyright © 1999 Dep. of Energy Engineering, DTU
M.J. Skovrup & H.J.H Knudsen 19-10-15
